CandidateID,ArabicWord,NormalizedWord,TargetCompetency,RequiredCompetencies,PrimaryPattern,VisualFamily,Difficulty,Priority,SourceRef,Status,Notes
QWOC-A-0001,قَالَ,قال,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ق-و-ف,2,HIGH,PENDING,CANDIDATE,Competency-first mad alif
QWOC-A-0002,كَانَ,كان,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ك-ا-ن,2,HIGH,PENDING,CANDIDATE,Competency-first mad alif
QWOC-A-0003,جَاءَ,جاء,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ج-ح-خ,3,HIGH,PENDING,CANDIDATE,Hamzah review before activation
QWOC-A-0004,نَارٌ,نار,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ن-ا-ر,2,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0005,مَالٌ,مال,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,م-ا-ل,2,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0006,بَابٌ,باب,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ب-ت-ث,2,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0007,دَارٌ,دار,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,د-ذ,2,HIGH,PENDING,CANDIDATE,Non-connecting pattern
QWOC-A-0008,نَاسٌ,ناس,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ن-ا-س,2,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0009,عَادَ,عاد,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ع-غ,3,MEDIUM,PENDING,CANDIDATE,Ayn articulation
QWOC-A-0010,زَادَ,زاد,QCI-MD-0001,QCI-PH-0001|QCI-CN-0002,MAD_ALIF,ر-ز,2,MEDIUM,PENDING,CANDIDATE,Non-connecting pattern
QWOC-A-0011,فِيهِ,فيه,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ف-ق,2,HIGH,PENDING,CANDIDATE,Common mad ya pattern
QWOC-A-0012,قِيلَ,قيل,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ق-و-ف,2,HIGH,PENDING,CANDIDATE,Common passive pattern
QWOC-A-0013,دِينٌ,دين,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,د-ذ,2,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0014,كَبِيرٌ,كبير,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ك-ب-ر,3,HIGH,PENDING,CANDIDATE,Four-letter word
QWOC-A-0015,عَلِيمٌ,عليم,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ع-غ,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
QWOC-A-0016,حَكِيمٌ,حكيم,QCI-MD-0002,QCI-PH-0002|QCI-CN-0002,MAD_YA,ج-ح-خ,3,HIGH,PENDING,CANDIDATE,Tanwin secondary
