lemma_id,lemma,normalized_family,meaning,first_seen,first_active_target,exposure_level,status,domain,notes
L-J3-001,قَرَأَ,قرأ,membaca,P001,P001,ACTIVE,CORE,READING,"أقرأ/تقرأ/يقرأ/اقرأ/اقرئي/قراءة tidak dihitung sebagai lemma baru"
L-J3-002,الْقُرْآنُ,قرآن,Al-Qur'an,P001,P002,ACTIVE,CORE,QURAN,"objek utama pembelajaran"
L-J3-003,مَاذَا,ماذا,apa,P001,P001,ACTIVE,CORE,QUESTION,"interogatif objek"
L-J3-004,هُنَا,هنا,di sini,P003,P003,ACTIVE,CORE,NAVIGATION,"deiksis lokasi teks"
L-J3-005,مِنْ,من,dari,P001,P003,ACTIVE,EXPANSION,NAVIGATION,"preposisi titik awal; bedakan dari مَنْ interrogatif"
L-J3-006,إِلَى,إلى,ke/sampai,P001,P004,ACTIVE,EXPANSION,NAVIGATION,"endpoint/direction"
L-J3-007,دَوْرٌ,دور,giliran,P003,P007,ACTIVE,CORE,TURN_MANAGEMENT,"دوري/دورك/dll satu lemma"
L-J3-008,مَنْ,من_استفهام,siapa,P001,P007,ACTIVE,EXPANSION,QUESTION,"interogatif person; fungsi berbeda dari مِنْ"
L-J3-009,الْآنَ,الآن,sekarang,P003,P009,ACTIVE,EXPANSION,TIME,"cue transfer giliran"
L-J3-010,بَعْدَ,بعد,setelah,P001,P010,ACTIVE,EXPANSION,SEQUENCING,"first-seen lebih awal; aktif pada peer sequencing"
L-J3-011,صَدِيقٌ,صديق,teman,P001,P010,ACTIVE,EXPANSION,PEER_INTERACTION,"صديقي/صديقك = morph/syntax expansion"
L-J3-012,اِسْتَمَعَ,استمع,mendengarkan,P003,P011,ACTIVE,REVIEW_REQUIRED,LISTENING,"validasi surface source terhadap سمع/استمع sebelum import final"
L-J3-013,كِتَابٌ,كتاب,buku,P001,,RECEPTIVE,KNOWN,LEARNING_ENVIRONMENT,"belum dihitung active target"
L-J3-014,قَلَمٌ,قلم,pena,P001,,RECEPTIVE,KNOWN,LEARNING_ENVIRONMENT,"belum dihitung active target"
L-J3-015,صَفْحَةٌ,صفحة,halaman,P001,,RECEPTIVE,CANDIDATE_ACTIVE,QURAN_NAVIGATION,"prioritas promosi ke ACTIVE"
L-J3-016,مُعَلِّمٌ,معلم,guru,P001,,RECEPTIVE,KNOWN,ROLE,"konteks pembelajaran"
L-J3-017,آيَةٌ,آية,ayat,P001,,RECEPTIVE,CANDIDATE_ACTIVE,QURAN_NAVIGATION,"prioritas promosi ke ACTIVE"
L-J3-018,مَسْجِدٌ,مسجد,masjid,P001,,NARRATIVE,KNOWN,ENVIRONMENT,"paparan konteks"
L-J3-019,مُصْحَفٌ,مصحف,mushaf,P001,,RECEPTIVE,CANDIDATE_ACTIVE,QURAN_NAVIGATION,"sangat relevan untuk Bi'ah"
L-J3-020,سُورَةٌ,سورة,surah,P001,,RECEPTIVE,CANDIDATE_ACTIVE,QURAN_NAVIGATION,"prioritas promosi ke ACTIVE"
L-J3-021,سَطْرٌ,سطر,baris,P003,,RECEPTIVE,CANDIDATE_ACTIVE,TEXT_NAVIGATION,"dapat diaktifkan pada navigasi teks"
L-J3-022,حَلْقَةٌ,حلقة,halaqah,P003,,RECEPTIVE,KNOWN,LEARNING_ENVIRONMENT,"lingkungan belajar"
L-J3-023,مَوْضِعٌ,موضع,posisi/tempat,P003,,RECEPTIVE,KNOWN,TEXT_NAVIGATION,"paparan posisi bacaan"
L-J3-024,صَحِيحٌ,صحيح,benar,P003,,RECEPTIVE,CANDIDATE_ACTIVE,FEEDBACK,"prioritas domain feedback"
L-J3-025,تَدْرِيبٌ,تدريب,latihan,P012,,NARRATIVE,KNOWN,AUTONOMY,"tidak dihitung penguasaan aktif"
L-J3-026,تَنْظِيمٌ,تنظيم,pengaturan,P012,,NARRATIVE,KNOWN,AUTONOMY,"tidak dihitung penguasaan aktif"
L-J3-027,أَدَارَ,إدارة,mengelola,P012,,NARRATIVE,KNOWN,AUTONOMY,"surface يُدِيرُوا; belum target aktif"
L-J3-028,تَعَاوَنَ,تعاون,bekerja sama,P012,,NARRATIVE,KNOWN,COLLABORATION,"surface يتعاونوا; belum target aktif"
L-J3-029,نِظَامٌ,نظام,keteraturan/sistem,P012,,NARRATIVE,KNOWN,AUTONOMY,"paparan naratif"
