slot,word,meaning_id,function,competency_status,lexical_status
1,يَسَرَ,memudahkan,CURRENT,ALLOWED,CURATED
2,يَبِسَ,menjadi kering,CURRENT,ALLOWED,CURATED
3,يَتِمَ,menjadi yatim,CURRENT,ALLOWED,CURATED
4,يَئِسَ,berputus asa,CURRENT,ALLOWED,CURATED
5,يَمِنَ,menjadi diberkahi atau beruntung,CURRENT,ALLOWED,CURATED
6,يَقُنَ,menjadi yakin,CURRENT,ALLOWED,CURATED
7,يَمُنَ,menjadi penuh berkah,CURRENT,ALLOWED,CURATED
8,يَسُرَ,menjadi mudah,CURRENT,ALLOWED,CURATED
9,يَبُسَ,menjadi kering,CURRENT,ALLOWED,CURATED
10,يَسِرَ,menjadi mudah atau ringan,CURRENT,ALLOWED,CURATED
11,يَمِمَ,menuju atau bermaksud,CURRENT,ALLOWED,CURATED
12,يَفَعَ,menjadi tinggi atau dewasa,CURRENT,ALLOWED,CURATED
13,يَنَعَ,menjadi matang,CURRENT,ALLOWED,CURATED
14,يَفِعَ,menjadi dewasa,CURRENT,ALLOWED,CURATED
15,يَقَرَ,menetap atau tenang,CURRENT,ALLOWED,CURATED
16,يَمَسَ,menyentuh,CURRENT,ALLOWED,CURATED
17,بَيِتَ,bermalam,CURRENT,ALLOWED,CURATED
18,سَيَرَ,berjalan atau menjalankan,CURRENT,ALLOWED,CURATED
19,خَيِرَ,menjadi baik,MUROJAAH,ALLOWED,CURATED
20,طَيِبَ,menjadi baik atau harum,MUROJAAH,ALLOWED,CURATED
21,هَيِجَ,bergejolak,MUROJAAH,ALLOWED,CURATED
22,مَيِزَ,membedakan,MUROJAAH,ALLOWED,CURATED
23,بَيُضَ,menjadi putih,MUROJAAH,ALLOWED,CURATED
24,سَيُلَ,menjadi cair atau mengalir,MUROJAAH,ALLOWED,CURATED
25,هَيُجَ,menjadi bergelora,MUROJAAH,ALLOWED,CURATED
26,فَيَضَ,melimpah,MUROJAAH,ALLOWED,CURATED
27,نُشِرَ,disebarkan,MUROJAAH,ALLOWED,CURATED
28,نُفِخَ,ditiup,MUROJAAH,ALLOWED,CURATED
29,مَرِحَ,bergembira,MUROJAAH,ALLOWED,CURATED
30,مَرُحَ,menjadi ringan atau lincah,MUROJAAH,ALLOWED,CURATED
31,قَدِرَ,mampu,MUROJAAH,ALLOWED,CURATED
32,قَرُبَ,menjadi dekat,MUROJAAH,ALLOWED,CURATED
